Name,RA(J2000),Decl(J2000),Morphology,T-type,BPT,E(B-V),g,u-g,M_g,cz,D_L
        NGC 4458 ,   187.23987,   13.24189,                E ,  -5.0 ,  -      ,   0.02 ,  12.59  ,   1.56 ,  -18.54 ,   1307 ,   16.3 
        NGC 4473 ,   187.45358,   13.42938,                E ,  -5.0 ,  -      ,   0.03 ,  10.69  ,   1.68 ,  -20.33 ,   2244 ,   15.3 
        NGC 4486 ,   187.70578,   12.39117,                E ,  -4.0 ,  -      ,   0.02 ,   9.44  ,   1.75 ,  -21.67 ,    635 ,   16.7 
      NGC 4536   ,   188.61271,    2.18814,       SABbc      ,   4.0 ,  SF     ,   0.02 ,  11.17  ,   1.22 ,  -19.71 ,   1808 ,   14.4 
        NGC 4550 ,   188.87739,   12.22082,                E ,  -1.5 ,  -      ,   0.03 ,  12.01  ,   1.54 ,  -19.01 ,    381 ,   16.0 
        NGC 4551 ,   188.90815,   12.26390,                E ,  -5.0 ,  -      ,   0.03 ,  12.34  ,   1.70 ,  -18.82 ,   1172 ,   16.2 
      NGC 4552   ,   188.91587,   12.55630,       E          ,  -5.0 ,  -      ,   0.04 ,  10.81  ,   1.81 ,  -20.20 ,    340 ,   15.9 
      NGC 4559   ,   188.99015,   27.96010,       SABcd      ,   6.0 ,  SF     ,   0.02 ,  10.92  ,   0.97 ,  -19.14 ,    807 ,   10.3 
 NGC 4569        ,   189.20750,   13.16304,     SABab        ,   2.0 ,  AGN    ,   0.04 ,   9.72  ,   1.43 ,  -21.52 ,   -235 ,   16.5 
      NGC 4579   ,   189.43134,   11.81808,       SABb       ,   3.0 ,  AGN    ,   0.03 ,  10.46  ,   1.60 ,  -20.75 ,   1517 ,   16.5 
      NGC 4594   ,   189.99762,  -11.62305,       SAa        ,   1.0 ,  -      ,   0.06 ,   9.38  ,   1.80 ,  -20.47 ,   1024 ,    9.3 
 NGC 4625        ,   190.46972,   41.27383,     SABm pec     ,   9.0 ,  SF     ,   0.01 ,  12.52  ,   1.03 ,  -17.35 ,    599 ,    9.2 
        NGC 4621 ,   190.50934,   11.64694,                E ,  -5.0 ,  -      ,   0.04 ,  10.09  ,   1.61 ,  -20.77 ,    410 ,   14.9 
      NGC 4631   ,   190.53248,   32.54288,       SBd        ,   7.0 ,  AGN    ,   0.03 ,   9.99  ,   0.91 ,  -19.52 ,    606 ,    7.6 
        NGC 4660 ,   191.13328,   11.19050,                E ,  -5.0 ,  -      ,   0.03 ,  11.59  ,   1.61 ,  -19.40 ,   1083 ,   15.0 
 NGC 4670        ,   191.32109,   27.12533,     SB(s)0/a     ,   -   ,  SF     ,   0.01 ,  12.45  ,   0.53 ,  -19.43 ,   1078 ,   23.2 
 NGC 4676 A      ,   191.53844,   30.73206,     Pec          ,  -2.0 ,  AGN    ,   0.01 ,  13.96  ,   1.34 ,  -21.08 ,   6620 ,  101.9 
      NGC 4725   ,   192.61064,   25.50075,       SABab pec  ,   2.0 ,  -      ,   0.02 ,  10.80  ,   1.65 ,  -19.66 ,   1206 ,   11.9 
      NGC 4826   ,   194.18187,   21.68307,       SAab       ,   2.0 ,  SF/AGN ,   0.05 ,   8.93  ,   1.47 ,  -20.63 ,    408 ,    7.5 
        NGC 4860 ,   194.76628,   28.12370,                E ,  -5.0 ,  -      ,   0.02 ,  13.88  ,   1.84 ,  -21.06 ,   7980 ,   95.1 
        NGC 4889 ,   195.03382,   27.97689,               E4 ,  -4.0 ,  -      ,   0.01 ,  12.12  ,   1.77 ,  -22.78 ,   6495 ,   93.8 
         IC 4051 ,   195.21479,   28.04283,                E ,  -5.0 ,  -      ,   0.01 ,  14.03  ,   1.84 ,  -21.44 ,   8793 ,  122.0 
