,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
60851,128,12357,18.0,90.9318,0.1623202,1.921049,0.02006473,1.253308,0.6939316,-0.0945154,2.129692,-0.0002501399,0.9925434,0.3800901,0.6462661
60858,135,10869,4.0,91.9719,0.1717087,1.913327,0.0200011,1.237135,0.792733,-0.4612818,2.591554,-0.0002071145,1.038819,0.3060886,0.6966343
60863,140,13516,5.0,94.1231,0.1962814,1.731757,0.02214079,1.206313,0.7972518,-0.4496637,3.057096,0.0003099914,1.073851,0.3446549,0.668541
60864,141,12212,8.0,92.1462,0.1962814,1.731757,0.02214079,1.206313,0.7972518,-0.4496637,2.322003,0.0003086466,1.103894,0.3446549,0.668541
60865,142,11152,1.0,92.418,0.1962814,1.731757,0.02214079,1.206313,0.7972518,-0.4496637,2.638413,0.0002310049,1.076146,0.3446549,0.668541
60869,146,10043,7.0,91.2248,0.1540792,2.466458,0.02425387,1.133613,0.7576077,-0.4872406,2.555819,5.010871e-05,1.081044,0.3118235,0.7789491
60872,149,13573,2.0,91.0665,0.09142275,3.68175,0.02227316,1.12133,0.7926088,-1.078125,2.6125,-5.735736e-05,1.187991,0.1820039,1.015821
60874,151,10263,7.0,91.3892,0.06579064,4.506134,0.02030855,1.012485,0.7915289,-1.455728,2.576394,0.0001461481,1.213409,0.1384531,1.15397
60877,154,13800,4.0,92.202,0.121934,2.980282,0.01979453,1.1723,0.7671243,-0.5756926,2.450913,0.0001175307,1.174651,0.241933,0.914529
60879,156,12522,11.0,91.4028,0.09354296,3.394662,0.02027701,1.222119,0.7581767,-0.5966706,2.132935,0.0002604123,1.180569,0.1991262,0.9454683
60881,158,14034,3.0,90.7818,0.1267499,2.724803,0.01912047,1.135633,0.7338834,-0.2766472,2.167713,0.0002626098,1.158397,0.2720362,0.8064759
60884,161,13539,6.0,92.4725,0.1385126,2.365903,0.01969168,1.177772,0.7322281,-0.6539447,2.462149,0.0002632307,1.213862,0.2962716,0.7237203
60886,163,11650,6.0,92.9594,0.155862,2.362484,0.02065569,1.049892,0.7550831,-0.2964818,2.443852,-4.24322e-05,1.32446,0.3107282,0.733396
60887,164,12899,2.0,90.7462,0.155862,2.362484,0.02065569,1.049892,0.7550831,-0.2964818,2.23721,-3.229225e-05,1.218153,0.3107282,0.733396
60890,167,13347,5.0,92.2862,0.1756238,2.097731,0.02293465,1.192405,0.7622807,-0.06910689,2.519042,-4.535917e-05,1.18688,0.3428192,0.7303786
60899,176,10124,5.0,91.5062,0.1923605,1.787314,0.02421283,1.086243,0.651736,0.02999747,2.5714,0.0001882425,0.9155204,0.511389,0.5816563
60902,179,12947,1.0,95.5191,0.1980504,1.973622,0.02466796,1.012026,0.700918,-0.520492,2.655523,9.342759e-05,0.780768,0.4546487,0.6436468
60906,183,14790,7.0,92.8271,0.1026873,2.979862,0.02050881,1.213293,0.7062243,-0.5720727,2.730805,-0.0001045121,0.7644111,0.2482999,0.8031569
60908,185,11341,7.0,95.0407,0.08870195,3.823963,0.02301201,1.089795,0.7215893,-0.5021897,2.767366,-9.185236e-05,0.7645639,0.2157865,1.027903
60912,189,14961,2.0,91.555,0.1014224,3.142688,0.02385788,1.293932,0.7335491,-0.09444921,2.301039,-0.0001931042,1.177097,0.2340193,0.8782435
60913,190,12235,8.0,90.8651,0.1014224,3.142688,0.02385788,1.293932,0.7335491,-0.09444921,2.570873,4.652702e-05,0.9625465,0.2340193,0.8782435
60914,191,10484,1.0,91.7193,0.1014224,3.142688,0.02385788,1.293932,0.7335491,-0.09444921,2.368811,7.764601e-05,0.9827065,0.2340193,0.8782435
60916,193,14539,5.0,91.3979,0.1040164,3.56481,0.02295486,1.136518,0.8177877,-0.1457825,2.142127,-0.0001345696,0.922228,0.1908191,1.063041
60920,197,12221,5.0,90.0507,0.1210272,2.969584,0.0220117,1.100804,0.7690576,-0.906554,2.159242,-0.00017287,0.9733656,0.2429338,0.8602479
60931,208,11369,2.0,91.7236,0.1228069,2.829808,0.02093476,1.139638,0.7608977,-0.1635246,2.823855,0.0003380671,1.101202,0.2493859,0.8298043
60935,212,12416,6.0,90.7678,0.113686,3.097489,0.02040421,1.121985,0.7934474,-0.2792599,2.517497,4.107054e-05,1.06983,0.214014,0.9052114
60937,214,14611,15.0,90.4876,0.1084242,3.363691,0.02018412,0.8554433,0.7285998,-0.9883148,2.534068,0.0001250789,1.014101,0.2434786,0.8829932
60938,215,12035,3.0,92.0088,0.1622804,2.446699,0.01965884,0.8289305,0.7928836,-0.8823957,2.455037,0.0001107895,1.022752,0.2904307,0.7212064
60939,216,14588,1.0,91.9984,0.1622804,2.446699,0.01965884,0.8289305,0.7928836,-0.8823957,2.748388,-3.701511e-05,1.080577,0.2904307,0.7212064
60941,218,12431,5.0,92.2561,0.1103332,3.203745,0.02110248,0.957519,0.8060679,-1.592148,2.773747,8.004308e-05,0.9870694,0.2032794,0.8651891
